c_first_name,c_last_name,c_preferred_cust_flag,c_salutation,cnt,ss_ticket_number
Camille,Abbott,Y,Dr.,16,388338
Otis,Abell,Y,Mr.,16,591586
Dolores,Adams,N,Ms.,15,1843440
Ellen,Adams,N,Dr.,15,962933
Gloria,Adams,Y,Dr.,15,1021818
Ian,Adams,Y,Mr.,15,2124914
John,Adams,Y,Dr.,15,1631219
Lavonne,Adams,Y,Dr.,16,2197542
Leo,Adams,Y,Sir,15,1889117
Lorenzo,Adams,Y,Dr.,15,1992811
Rebecca,Adams,N,Miss,16,646935
Robert,Adams,N,,16,2251823
Sherri,Adams,Y,Dr.,15,1525814
Michael,Addison,Y,Dr.,16,2291986
Andrew,Adkins,N,Dr.,15,1317592
Brad,Adkins,N,Dr.,15,2162522
Charles,Adkins,Y,Dr.,15,2360794
Holly,Aguiar,Y,Dr.,15,850368
Edgar,Aguilar,N,Mr.,16,1714821
Johnny,Ahern,N,Dr.,15,481602
Mirtha,Aiello,N,Mrs.,16,668709
Saundra,Akers,Y,Miss,16,405757
Jay,Alaniz,N,Mr.,16,893719
Sandra,Alaniz,Y,Miss,16,762130
Margaret,Alexander,Y,Miss,16,683755
Robert,Alfaro,N,Dr.,15,376388
Glenn,Alford,N,Mr.,15,1170939
Donald,Ali,Y,Sir,15,1085112
Amanda,Allen,N,Miss,15,69402
Amy,Allen,Y,Mrs.,15,1689460
Arturo,Allen,N,Dr.,16,511289
Brian,Allen,Y,Mr.,15,836060
Dan,Allen,Y,Mr.,15,1942985
David,Allen,N,Dr.,15,306639
Evelyn,Allen,N,Mrs.,16,1795228
Frank,Allen,Y,Dr.,16,1249470
Laura,Allen,N,Miss,16,963949
Leon,Allen,N,Dr.,15,1445520
Luis,Allen,Y,Dr.,15,2168717
Rosa,Allen,Y,Ms.,15,2248239
Treva,Allen,Y,Dr.,16,537612
,Allen,Y,Sir,15,2266095
Tammy,Allison,Y,Ms.,16,1312697
George,Allman,Y,Sir,15,1438348
Aaron,Alvarado,N,Dr.,16,1268832
Eric,Alvarado,Y,Dr.,16,1779979
William,Alvarado,Y,Dr.,15,657469
Frank,Alvarez,N,Mr.,15,427361
Jeffrey,Alvarez,Y,Dr.,15,1644537
Michelle,Alvarez,Y,Ms.,15,145692
Aline,Anderson,Y,Mrs.,15,1121721
Christy,Anderson,N,Ms.,15,1561267
Clifford,Anderson,Y,Sir,15,1121674
Danielle,Anderson,Y,Ms.,16,1012652
Eddie,Anderson,N,Sir,15,2191439
George,Anderson,N,Sir,16,2130261
Gregg,Anderson,N,Dr.,15,1210608
Joel,Anderson,Y,Mr.,16,1800051
Kenneth,Anderson,Y,Dr.,16,1401811
Laura,Anderson,Y,Miss,16,1632493
Paul,Anderson,Y,Sir,16,2000088
Samantha,Anderson,N,Dr.,16,1305470
Sarah,Anderson,N,Mrs.,15,1653461
Tamela,Anderson,N,Miss,15,343995
Velma,Anderson,N,Ms.,15,684176
,Anderson,Y,Mr.,15,78255
Earl,Antonio,Y,Mr.,15,740446
Richard,Apodaca,N,Dr.,15,2049468
David,Araujo,Y,Mr.,15,626306
Yolanda,Archer,Y,Miss,16,1416691
Judith,Arnold,N,Ms.,15,1777
Melvin,Arnold,N,Sir,16,1956622
Wendy,Arnold,N,Miss,15,1603484
Charles,Arriaga,N,Sir,15,2240148
,Arrington,,,16,2069195
Steven,Arroyo,N,Mr.,15,1558141
Steven,Arsenault,Y,Mr.,16,71389
Bradley,Artis,Y,Dr.,15,1216115
Sallie,Ashcraft,N,Mrs.,15,561837
Herman,Asher,Y,Dr.,15,1865441
,Askew,Y,,16,197079
Jimmie,Atherton,N,Mr.,16,2064803
Ruth,Atkins,Y,Mrs.,16,450617
,Atkins,N,Sir,16,1768861
Frank,Atkinson,N,Dr.,15,762237
William,Austin,Y,Sir,16,1455136
Jimmy,Avery,Y,Sir,15,1660782
Elizabeth,Bagwell,Y,Dr.,15,2016518
Brenda,Bailey,Y,Miss,15,2003850
Caroline,Bailey,N,Ms.,15,860975
Chandra,Bailey,N,Miss,15,1146544
Jerry,Bailey,N,Sir,15,1874314
Matthew,Bailey,Y,Dr.,16,536550
Alicia,Baines,N,Mrs.,15,432947
Jim,Baird,Y,Mr.,15,2017587
Altha,Baker,Y,Mrs.,16,1857296
Barbara,Baker,Y,Dr.,15,425340
Debra,Baker,Y,Miss,16,2280556
Edward,Baker,N,Sir,15,1733296
Frank,Baker,N,Mr.,16,1363083
Myles,Baker,N,Mr.,15,1130901
Richard,Baker,N,Sir,15,1893561
Sandra,Baker,N,Dr.,15,334348
Sabrina,Baldwin,Y,Mrs.,15,563130
Stephen,Baldwin,N,Sir,16,2002577
Jeffrey,Ballard,N,Dr.,15,1984985
Rachel,Ballard,Y,Dr.,15,709372
Kevin,Banda,,Mr.,16,2193161
Henry,Banks,N,Sir,15,529922
Jeffrey,Banks,Y,Mr.,15,108766
Josephine,Banks,Y,Ms.,15,1253225
Luis,Banks,N,Dr.,15,1808915
Matthew,Bannister,N,Dr.,16,1459598
Elizabeth,Barajas,Y,Ms.,15,1059871
Robert,Barbee,Y,Dr.,15,1720421
Robert,Barber,Y,Dr.,15,1220600
David,Barker,N,Sir,15,1244875
Raphael,Barker,Y,Mr.,15,346707
Rachel,Barksdale,N,Dr.,15,1066684
David,Barlow,N,Mr.,15,1902040
Jack,Barlow,N,Sir,15,476092
Robert,Barnard,N,Dr.,15,1679245
Derrick,Barnes,N,Sir,15,1657476
Robert,Barnes,Y,Sir,15,2184174
Ethel,Barnett,Y,Dr.,16,1374173
Rafael,Barnhill,Y,Mr.,15,2390350
Joya,Baron,Y,Dr.,16,2323848
David,Barrera,,,15,1712250
Jonathan,Barrera,N,Mr.,16,1473414
Oliver,Barrett,N,Mr.,15,1376511
Rudy,Barrett,N,Mr.,16,521016
Brent,Barrow,Y,Mr.,15,1190472
Michael,Barrows,Y,Dr.,16,630978
Dorothy,Barry,Y,Ms.,15,133821
Darleen,Bartlett,N,Miss,15,589697
Danny,Bartley,N,Sir,15,1837739
Lois,Bartley,Y,Miss,16,158681
Daniel,Barton,Y,Sir,16,1839336
Ebony,Barton,Y,Mrs.,15,76245
Karen,Bassett,,,15,1278362
Sarah,Bassett,N,Miss,15,337214
Rebecca,Bateman,Y,Ms.,15,629927
Teresa,Bates,N,Ms.,16,365705
Larry,Batista,N,Dr.,15,1742215
,Batista,,Dr.,15,917590
,Batts,,Dr.,15,1685669
Tommy,Bauer,N,Dr.,16,1030726
Mabel,Baugh,N,Mrs.,15,2097939
Donna,Baum,N,Dr.,16,280705
Herbert,Bautista,Y,Sir,15,1427337
Brian,Baxter,Y,Dr.,15,751839
Gertrude,Baxter,N,Dr.,15,181365
Paul,Baxter,Y,Dr.,15,493470
Thomas,Beals,N,Dr.,15,254725
