bought_city,c_first_name,c_last_name,ca_city,extended_price,extended_tax,list_price,ss_ticket_number
Fox,Felton,Abbott,Oakwood,10625.88,696.59,31192.94,699099
Centerville,Anna,Abbott,Riverview,22398.33,1059.41,43707.59,2203863
Kingston,Brian,Abbott,Jamestown,15244.14,529.75,30910.47,2220593
Greenville,Gregory,Abel,Winchester,10998.51,641.25,27527.03,1815378
Floyd,Alberta,Abell,Union,25342.1,1290.59,42200.67,1288442
Greenville,Christian,Abernathy,Forest Hills,13084.54,468.21,28088.11,871430
Hardy,Douglas,Abraham,Hopewell,10410.58,468.02,22430.24,98305
Lakeview,Laurie,Abrams,Louisville,14501.42,381.87,28720.06,544076
Cedar Grove,Steve,Abrams,Harmony,12775.73,502.89,28372.88,1428288
Hillcrest,Patsy,Abrams,Newport,30620.6,854.79,47543.41,1661290
Enterprise,Regina,Acevedo,Winslow,11165.92,439.59,22117.13,22567
Antioch,Shari,Acevedo,Farmington,22607.96,1107.76,47115.81,106170
Mount Vernon,Bruce,Acevedo,Frogtown,11057.7,346.29,30744.11,1822181
Mount Pleasant,Harriet,Acker,Concord,24184.72,1384.48,52229.38,1640601
Friendship,Gerard,Ackerman,Fowler,25137.11,1617.5,34400.56,2025153
Maple Grove,Jose,Adame,Waterloo,30151.69,958.96,43737.2,938147
Carpenter,Jana,Adame,Marion,21164.01,553.16,57065.07,1352507
Pleasant Grove,Aubrey,Adams,Greenwood,40345.53,1142.39,63840.24,245756
Union Hill,Jovita,Adams,Antioch,8403.42,487.22,24369.29,247336
Liberty,Wanda,Adams,Riverside,11383.06,662.33,25783.27,308611
Providence,Randall,Adams,Greenfield,22476.27,1662.21,47648.55,334413
Green Acres,Juan,Adams,Antioch,11637.82,385.41,40845.13,583413
Woodville,Jane,Adams,Farmington,16258.75,896.27,24736.75,585871
Wildwood,Brenda,Adams,Florence,34652.64,1080.35,74975.64,678564
Mount Zion,Sherri,Adams,Riverside,19513.28,727.18,36564.86,863394
Jamestown,Rebecca,Adams,Woodland,29923.89,1540.71,77616.68,871046
Franklin,Samuel,Adams,Guilford,14831.74,644.45,35339.68,901300
