c_acctbal,c_address,c_comment,c_custkey,c_name,c_phone,n_name,revenue
5275.9,0xJiAegrQoTTX7RTAW6ywkkba5Mh5yGqJXn,its are idly. carefully even accounts across the slyly bold accounts wake enticingly arou,21013765,Customer#021013765,19-291-569-3820,INDONESIA,786759.2494
-493.82,9T9MO6COoMoSs,ronic deposits sleep. carefully,2850217,Customer#002850217,25-961-108-5326,MOROCCO,772566.086
3071.51,KEtWhQjSCm7GPIZlQyzOh4yg,s boost slyly permanent packages,23952316,Customer#023952316,24-248-499-2920,KENYA,765851.5738
3554.51,"Q,ZW8m6Fs0JQzOAjdK87W3bA7d7MWN","le furiously? final escapades nag slyly bold packages. ironic, ironic accou",26767225,Customer#026767225,32-250-519-6997,RUSSIA,751142.5514
1985.85,eoX5V7QUNJ,pecial requests. theodolites are against the carefully express requests. furiously pending instruction,23886103,Customer#023886103,15-978-694-2257,ETHIOPIA,736968.3292
3187.48,eq19MLL9hT6Vuqw UBFaeHidWq3oCv7rztt7," regular, even platelets. furiou",20434982,Customer#020434982,25-829-230-2875,MOROCCO,730430.566
3415.27,aEsSUeMU2gRIDgFk,"special, express attainments are quickly brave, ironic deposits. blithely bold ideas sleep b",33778639,Customer#033778639,33-271-232-6396,UNITED KINGDOM,724151.3039
4139.28,FVx 6uNJ6z0E6EX8,to beans haggle along the blithe ,44151658,Customer#044151658,23-867-621-4034,JORDAN,724079.822
1634.02,LAA025xqfD0,equests wake among the carefully ironic pinto beans. boldly ,32525761,Customer#032525761,20-810-842-3157,IRAN,720643.9598
1551.09,bYSFKdNwc UVuQh,"es. quickly ruthless ideas boost slyly ironic theodolites. regular, bold accounts nag. ide",649543,Customer#000649543,13-131-808-3489,CANADA,719531.572
6214.97,MMx5GYfjET6d2ZAYEUP5QqRg7Vv, dolphins among the carefully slow requests integrate bravely carefully pending instructions. quickly unusual d,14975449,Customer#014975449,28-453-491-9953,CHINA,718209.0611
3262.45,ZdGxpz2usqiDIkFwyHqAZanB5ZC, daringly ironic accounts haggle after the even ideas. blithely final accounts wake carefully according to the ,43294972,Customer#043294972,15-713-374-6863,ETHIOPIA,713114.7582
8399.17,ZaL zbydB8K15HFWM9st4,e carefully carefully even braids. busy,6529702,Customer#006529702,20-481-104-6535,IRAN,711908.8603
7288.77,"4SsjhErZ,ag,a BAeC1AVry aKJcf1TS2o",are foxes. carefully express depo,27770426,Customer#027770426,25-147-843-1993,MOROCCO,711346.5438
1771.23,WN95kS9qflwKft1UTZgCHabO,"instructions. blithely express deposits kindle slyly regular, bold depo",39075190,Customer#039075190,33-957-568-4596,UNITED KINGDOM,709529.4098
3679.66,vymH886RiSJ90XQ6SQbw64kI5M8WKZ0RTir, dinos integrate along the carefully bold instructions! quickly even accounts g,22887424,Customer#022887424,12-153-857-7242,BRAZIL,709010.296
601.24,vnQCyDhEKa8Nh0Bg,pecial braids about the quickly bold theodolites wake above the iron,37033201,Customer#037033201,21-204-237-7108,IRAQ,708609.446
7393.71,mriEA2Q7BYjrShBxyuNt,tions haggle furiously whithout the blithely ironic requests. q,14245417,Customer#014245417,24-819-470-4468,KENYA,707720.3048
6032.78,"TvQ4Nhb3YjI,,c5w6JUo,EE","he express, even pains are idly ironic accounts. fluffily bold deposits integrate. blithel",17447560,Customer#017447560,15-529-265-3313,ETHIOPIA,701737.2703
9832.59,qD8XtZYEZq,e the hockey players haggle fluffily around the blithely even deposits. blithely regular excuses u,6495520,Customer#006495520,16-184-302-6411,FRANCE,699159.767
