c_acctbal,c_address,c_comment,c_custkey,c_name,c_phone,n_name,revenue
2609.82,RM4fuEmXK8ESriBXSIkOhgVq5T 1Tt8DUAzjfl0,totes. carefully express braids against the even theodolites haggle slyly ironic instructions. fluffily ironic,145222915,Customer#145222915,27-354-761-3665,PERU,759799.1732
-281.78,AsSMrXFJn4fTbxOfe,he slyly silent deposits. enticingl,72783955,Customer#072783955,28-394-178-8706,CHINA,738365.6572
8468.11,"YqnMlfKzYmYS7P,wLP,gM,DSDqI0",quests after the final dependencies try to are slyly beneath the slyly final dugouts! ironic,19986701,Customer#019986701,12-788-533-7565,BRAZIL,700029.0515
3567.5,LwcX3KuDUPAJsQab68bq7AbWvac,ve the regular platelets. blithely final requests boost blithely according t,25807927,Customer#025807927,18-945-549-3074,INDIA,699981.9124
2666.13,3cDHZSxMIUlyLEzmW39GkwiBonjy5K1,the furiously pending dugouts. blithely ironic theodolites are furiously accordi,117399091,Customer#117399091,18-727-996-6877,INDIA,699613.4942
9033.09,KAdi22rJJXewVwiWrvz1zvpkfaUCNQSog,thely bold foxes sleep quickly carefully pending platelets. unusual ideas use about the ev,124004114,Customer#124004114,12-415-678-9938,BRAZIL,696771.5483
1609.35,VB0bLAABcrL8jEav4rwzsJQ n9DPobg l z8Dv,osits are among the regular packages. blithely spec,140581621,Customer#140581621,31-803-119-5914,VIETNAM,696303.2835
7079.43,"JoC,ZGia0PjZFem",cajole slyly about the accounts,54686368,Customer#054686368,13-245-191-5949,CANADA,691863.6685
9498.41, TbgTLyLwytGNG8crK9 cOb5VT4,accounts. furiously unusual dolphins wake among the quickly unusual pinto beans. platelets thro,125121329,Customer#125121329,13-746-513-5216,CANADA,684256.7892
335.24,Neh5Tfs0LKw2P3DpLWm1JPuBIjRADkkri,its. even accounts sleep blithely around the q,103709920,Customer#103709920,11-575-335-8459,ARGENTINA,666009.3986
1282.4,qiTUySFBHd1CYuX6Ie5Czfzo,le. furiously unusual deposits integrate blithely slyly ironi,15756826,Customer#015756826,23-259-172-2763,JORDAN,663879.7762
8034.76,"IF9Z55lEs4 mqEZb5r7IFxDoT,",sts according to the fluffily expr,108419200,Customer#108419200,20-565-997-7793,IRAN,663180.7503
6320.24, Gl xdUvUd9uABRVRb,ajole theodolites. asymptotes use blithely along the,84559318,Customer#084559318,10-802-986-6906,ALGERIA,660825.8317
6.9,zHAiLOSiExPOUqzLui3JsF8FxxtY8062g4M2,ions nag. slyly final Tiresias sleep about the furiously regular dugouts. silently regular ide,142496267,Customer#142496267,14-230-236-8212,EGYPT,658715.1143
4487.26,dcZOtNzQgWMl,foxes. pending requests cajole slyly inside the busily iro,123061768,Customer#123061768,19-997-669-3953,INDONESIA,658367.4093
7589.88,iJjjrHItwGug6rqdEd82HiWRVZiBcJYKXsJb, final requests. slyly ironic courts haggle furiously about the regular ac,115803691,Customer#115803691,30-995-924-8613,SAUDI ARABIA,657200.7973
116.14,bLmVJmN1Iu, blithe deposits nag slyly after the special somas.,118839728,Customer#118839728,20-882-408-5961,IRAN,656340.4191
912.39,YOLdcXIpdNZ7HstVzv7ph1bMZRkU4zhNdFqM,yly even requests sleep blithely after the carefully regular ideas. carefully regular instructions cajole regularly ,40375286,Customer#040375286,30-946-768-8488,SAUDI ARABIA,649584.9863
3797.37,VVgFExCs1qdYb2NZ0Ohswg2H5TbU4K7Uq5JeQ8,y ironic escapades wake slyly final requests! regular deposits after the slyly bold packages,42596569,Customer#042596569,16-951-208-5208,FRANCE,649582.6194
-137.9,952Fcali8NmlK5uyWahQI7ndL2qCN4L9za8IEjla,"otes. fluffily bold packages affix special, unusual accounts. furiously even ",72540454,Customer#072540454,16-107-536-9580,FRANCE,648854.9427
