c_acctbal,c_address,c_comment,c_custkey,c_name,c_phone,n_name,revenue
9126.11,jSQxB2C981XU,s! requests are carefully quickly f,445438,Customer#000445438,25-112-284-9783,MOROCCO,880673.4657
9962.93,fLcQDk0cDF3lzDv81ElidZ 6M4B8nRnd1iQ2YqWe,y stealthy asymptotes haggle quickly. regular packages print fu,153685,Customer#000153685,34-576-590-7308,UNITED STATES,789592.0302
5028.42,ScCGWFRx3Vq3oKPt6 l51JmWx,nic instructions nod carefully around the furiously special asymptotes. slyly special requests ,221011,Customer#000221011,25-882-704-5070,MOROCCO,787548.6408
8827.88,"bqL,CaaB1o6RObb0NZra7LV3V6NKUqgR8ONo5",st carefully against the blithely regular foxes. bold frets dazzle! furiousl,1092217,Customer#001092217,24-772-290-1742,KENYA,784782.2599
9843.78,"r2ovCTaxxwgPGd20n In3GgC,KsmbvkSiPtM","heodolites. final frets across the final, pending real",894682,Customer#000894682,28-508-167-4899,CHINA,778770.9393
3972.4,"1xsBhrJwa7S,XnpZMyjxPhKijZiIYtYhf2T","ly final requests affix carefully final, ironi",248671,Customer#000248671,23-539-723-7254,JORDAN,778663.0901
6523.15, r Q9xoZMimAmQ1TPBYxdt4v,e packages. regular deposits cajole furiously across the quickly regular deposits. ironic deposits cajole quietly,841009,Customer#000841009,31-459-534-7479,VIETNAM,771774.5101
2991.9,0lcXkGqt9buy3cx5QfQ 1UTfrV,"st slyly about the express, pending deposits. silent, final accounts eat beneath the ",1373161,Customer#001373161,31-606-875-1887,VIETNAM,766348.6729
7805.22,"Hrucl0DSb,2j",structions mold slyly after the fluffily even accounts. ,1254199,Customer#001254199,32-733-303-3575,RUSSIA,765983.5928
848.7,"FxGp,orjQLdpS0ZSwWi",he regular decoys. furiously ,1468849,Customer#001468849,29-803-610-4987,ROMANIA,757386.6423
4039.44,WEIoAnerYX,special foxes against the final ideas should have to wake carefully carefully ironic deposits; blithely pen,1429565,Customer#001429565,18-959-706-8969,INDIA,742802.211
244.21,"rspr,,MPROcWKu2OasWoW6myxuMNr2GWoNgm", regular braids. carefully express dolphins hang carefully ironic requests. even deposits,497767,Customer#000497767,24-241-781-2171,KENYA,742114.2866
1322.03,wlVqZh3 ddbYjR IoyNN, ironic packages nag fluffily carefully final hockey players. always bold deposits affi,339503,Customer#000339503,21-462-403-1065,IRAQ,734857.3404
4649.7,"aPPTL6fHQqr JO9i,saK8FG2yrt2n", even dependencies. carefully ruthless platelets wake carefully. ir,762388,Customer#000762388,14-873-154-3115,EGYPT,729583.302
1210.62,mbqSDYeoWJReX,riously deposits. carefully silent att,1319911,Customer#001319911,10-748-620-3318,ALGERIA,709438.5805
2933.2,7Wj2xLG6ZA,"pades sleep according to the pending dolphins. final, regular accounts haggle along the dogged, unusual id",451960,Customer#000451960,27-862-124-4479,PERU,696711.563
8016.09,Hg1uyfm4tUrHDw0UwAuVqdwdRMiw5kMCuzMfn,efully bold requests. permanently regular deposits are blithely furiously regular requests. ironic acco,679603,Customer#000679603,25-291-934-1664,MOROCCO,692594.5376
4469.68,"kll KvlfuJEogd7b,N9FAMD",es sleep carefully according to the carefully bold accounts. quickly ironic requests,361429,Customer#000361429,23-644-926-1484,JORDAN,692443.9311
5806.22,"U3DY,GIlzg i9rLH8C",regular deposits are slyly blithely silent ,1218958,Customer#001218958,19-646-677-3333,INDONESIA,692377.2337
3681.29,ZAv1caiFfssO2Ek7,d ideas. slyly pending packages are carefully even instr,645367,Customer#000645367,31-817-694-2658,VIETNAM,690100.8411
