amt,c_first_name,c_last_name,profit,ss_ticket_number,substr
1333.17,Abraham,Aaron,-6033.41,184139411,Glendale
5112.77,Abraham,Aaron,-10530.94,28874082,Mount Olive
0.0,Adam,Aaron,-4734.73,175243455,Wildwood
2550.32,Adele,Aaron,-6607.69,71800800,Highland
4678.63,Agnes,Aaron,-18076.15,98668608,Highland
4691.63,Ahmad,Aaron,-15482.66,221764986,Buena Vista
317.22,Ahmad,Aaron,-4269.45,40733758,Highland
686.47,Ahmad,Aaron,-9779.7,199491179,Oakdale
1328.92,Alan,Aaron,-8889.02,225198937,Harmony
,Alan,Aaron,3.68,225198937,Harmony
1571.67,Alan,Aaron,-3264.97,196239344,Union
7228.83,Alana,Aaron,-10817.39,147101417,Antioch
755.5,Alana,Aaron,-6674.6,62135729,Buena Vista
9550.98,Alana,Aaron,-15393.36,84019325,Lakewood
1302.18,Alana,Aaron,-14507.86,152692491,Mount Pleasant
4345.98,Albert,Aaron,-11191.25,202659866,Fairview
,Albert,Aaron,150.4,202659866,Fairview
2361.54,Albert,Aaron,-14179.39,117159042,Friendship
0.0,Albert,Aaron,-3501.99,237569863,Lakeside
1984.7,Albert,Aaron,-21039.08,95150507,New Hope
174.34,Albert,Aaron,-4445.04,239135467,Oakdale
933.74,Albert,Aaron,-2847.23,23021574,Providence
1474.03,Alexander,Aaron,-10340.02,193036876,Georgetown
417.69,Alexander,Aaron,-5166.81,34908963,Stringtown
1851.38,Alexis,Aaron,-6268.99,188255443,Georgetown
0.0,Allen,Aaron,-3776.49,54210389,New Hope
754.41,Allen,Aaron,-2117.21,145594995,Oakdale
3743.25,Allen,Aaron,-3279.36,192687737,Union
1203.37,Allene,Aaron,-4906.19,23772839,Shady Grove
2381.49,Allene,Aaron,-12545.52,58056575,Spring Hill
4410.66,Allison,Aaron,-14798.81,125146884,Mount Pleasant
0.0,Allison,Aaron,,125146884,Mount Pleasant
3668.03,Alta,Aaron,-4301.26,204845348,Salem
207.6,Alta,Aaron,4087.76,147411707,Salem
2975.43,Alvin,Aaron,-9502.29,163717583,Pleasant Valley
283.05,Alyssa,Aaron,-10797.21,157748939,Centerville
183.48,Alyssa,Aaron,2671.18,60375778,Glenwood
282.19,Alyssa,Aaron,-8238.0,164569328,Woodlawn
0.0,Amanda,Aaron,-6728.29,182512966,Bethel
11006.25,Amanda,Aaron,-12294.15,147542186,Five Points
0.0,Amanda,Aaron,2521.64,77193163,Five Points
1089.5,Amanda,Aaron,-11627.9,195549086,Greenville
4847.49,Amanda,Aaron,-8593.93,60382244,Lakeside
2613.63,Amanda,Aaron,-13695.79,117465202,Oakdale
0.0,Amanda,Aaron,-13220.61,3791925,Salem
223.85,Amanda,Aaron,-15400.43,155238434,Walnut Grove
549.33,Amanda,Aaron,-9155.65,66092683,Wildwood
0.0,Amber,Aaron,-7769.82,116069456,Highland
11285.96,Amy,Aaron,-11845.2,63695621,Lakeside
2599.58,Andrea,Aaron,-8607.93,94922250,New Hope
