c_first_name,c_last_name,c_preferred_cust_flag,c_salutation,cnt,ss_ticket_number
Crystal,Aaron,Y,Mrs.,15,187846261
Francine,Aaron,Y,Dr.,15,71895714
Gregory,Aaron,N,Mr.,15,163505802
Jeffrey,Aaron,N,Mr.,15,180449278
Jo,Aaron,Y,Dr.,15,177493486
Jonathon,Aaron,Y,Dr.,15,206659554
Kristina,Aaron,N,Ms.,16,217166077
Luis,Aaron,Y,Dr.,16,37765858
Luis,Aaron,N,Dr.,16,146865158
Marc,Aaron,Y,Sir,15,63438792
Martha,Aaron,N,Mrs.,15,227071379
Sherman,Aaron,N,Dr.,15,25804525
Stanley,Aaron,N,Dr.,15,138875682
Troy,Aaron,N,Sir,15,102110422
Victoria,Aaron,N,Mrs.,15,175850686
Amy,Abbott,N,Miss,16,128038051
Bobby,Abbott,N,Dr.,15,39129105
Bruce,Abbott,Y,Dr.,15,171101934
Carl,Abbott,Y,Mr.,15,232261532
Charles,Abbott,N,Mr.,15,209041152
Daniel,Abbott,Y,Dr.,15,181815773
Danny,Abbott,Y,Dr.,16,170690842
David,Abbott,Y,Mr.,15,106061965
Doreen,Abbott,N,Miss,15,79260158
Eugene,Abbott,Y,Dr.,15,56401384
Everett,Abbott,Y,Sir,15,197723979
Gloria,Abbott,N,Ms.,15,239234555
John,Abbott,N,Dr.,15,214554445
Kathleen,Abbott,N,Ms.,15,126250237
Kathryn,Abbott,N,Ms.,15,147817712
Kathy,Abbott,Y,Mrs.,15,170502385
Kristen,Abbott,N,Dr.,16,50366644
Lawrence,Abbott,N,Dr.,15,68917615
Manuel,Abbott,Y,Dr.,15,23922506
Mark,Abbott,Y,Mr.,15,182167963
Melisa,Abbott,N,Mrs.,15,62217045
Nancy,Abbott,N,Miss,16,84979762
Oscar,Abbott,N,Dr.,16,236056130
Rachel,Abbott,Y,Dr.,16,49949771
Rebecca,Abbott,Y,Ms.,15,191493039
Retha,Abbott,Y,Dr.,15,142390011
Ricardo,Abbott,N,Mr.,15,32007994
Robert,Abbott,N,Dr.,15,199251340
Roy,Abbott,Y,Dr.,15,197454281
Sandra,Abbott,Y,Dr.,15,129304502
Sheila,Abbott,Y,Miss,15,57538394
Thomas,Abbott,N,Dr.,15,149134097
Timothy,Abbott,Y,Dr.,16,39137496
Victor,Abbott,,,15,178335460
William,Abbott,Y,Mr.,16,193178727
,Abbott,N,,15,35193423
Albert,Abel,N,Mrs.,16,223918703
Charles,Abel,Y,Dr.,16,232866091
Jennifer,Abel,Y,Mrs.,15,135146230
Stephanie,Abel,N,Mrs.,16,70684932
Virginia,Abel,N,Ms.,15,22715850
William,Abel,,,16,212257049
Alex,Abell,Y,Mrs.,16,167509174
Kandace,Abell,Y,Ms.,15,17166352
Brent,Abernathy,N,Mr.,15,37303329
Carolyn,Abernathy,Y,Miss,16,177427082
Cynthia,Abernathy,Y,Mrs.,15,11349813
Dale,Abernathy,Y,Dr.,16,72855016
Edward,Abernathy,N,Dr.,16,125617547
Jacob,Abernathy,N,Sir,15,179749167
James,Abernathy,N,Mr.,15,177310956
Kyle,Abernathy,Y,Dr.,15,238985001
Robert,Abernathy,N,Mr.,15,8750656
Scott,Abernathy,Y,Sir,16,17027222
Dorothy,Abner,Y,Ms.,15,27311925
Michael,Abner,N,Dr.,15,137407301
Rachel,Abner,N,Mrs.,16,234111110
Susan,Abner,N,Mrs.,15,1961612
Jeremy,Abney,N,Dr.,16,213750997
Louise,Abney,Y,Miss,15,187705449
Robert,Abney,Y,Sir,15,128162414
Stephanie,Abney,N,Dr.,15,68111728
Tiffany,Abney,Y,Ms.,15,116043338
Annie,Abraham,Y,Dr.,15,133801841
Candice,Abraham,N,Ms.,15,146510720
Chester,Abraham,Y,Dr.,15,231539911
David,Abraham,N,Sir,15,16155621
Flavia,Abraham,N,Ms.,16,138366543
Lorraine,Abraham,Y,Dr.,16,105424091
Augustus,Abrams,Y,Mr.,15,61426091
Charles,Abrams,Y,Sir,15,182834149
Danielle,Abrams,Y,Dr.,15,72887505
Danielle,Abrams,Y,Miss,16,231532385
Inez,Abrams,N,Mrs.,16,113013278
Jane,Abrams,Y,Miss,15,113220487
John,Abrams,Y,Dr.,15,190231428
Junior,Abrams,Y,Mr.,15,221663736
Leonia,Abrams,N,Mrs.,16,1089142
Matthew,Abrams,N,Dr.,16,105171251
Maxine,Abrams,N,Mrs.,16,231898114
Meridith,Abrams,N,Dr.,15,66757875
Pauline,Abrams,Y,Ms.,15,77446698
Richard,Abrams,N,Sir,16,86652825
Virginia,Abrams,Y,Mrs.,15,16397536
Aaron,Abreu,N,Dr.,15,204559655
Glen,Abreu,N,Sir,15,136529503
Janice,Abreu,N,Miss,16,34632264
Phyllis,Abreu,N,Dr.,16,32807190
Wayne,Abreu,N,Dr.,15,52003682
Angel,Acevedo,N,Ms.,15,204812955
Antoinette,Acevedo,N,Mrs.,15,99799061
Catalina,Acevedo,Y,Ms.,15,48935160
Chas,Acevedo,Y,Mr.,16,151156109
Daniel,Acevedo,Y,Mr.,15,136008728
Daniel,Acevedo,Y,Sir,15,129189729
David,Acevedo,Y,Dr.,15,203433982
Donald,Acevedo,Y,Sir,15,208386816
Florence,Acevedo,Y,Dr.,15,23048453
Johnny,Acevedo,N,Dr.,15,73541681
Justin,Acevedo,N,Sir,16,184988712
Leonard,Acevedo,N,Sir,15,131351041
Mee,Acevedo,Y,Miss,15,35561364
Michael,Acevedo,Y,Dr.,15,149189369
Mike,Acevedo,Y,Mr.,15,172207203
Philip,Acevedo,N,Mr.,15,191286364
Randi,Acevedo,Y,Ms.,16,156260045
Raymond,Acevedo,N,Sir,15,229103227
Robert,Acevedo,N,Sir,16,7760114
