customer_id,customername
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
AAAAAAAAAAAAIDAA,"Moore, Brian"
