c_first_name,c_last_name,c_preferred_cust_flag,c_salutation,cnt,ss_ticket_number
Florida,Abrams,N,Ms.,5,139122148
Terry,Adams,Y,Dr.,5,32058383
Mike,Allred,Y,Mr.,5,179415558
Brian,Almanza,Y,Mr.,5,44684329
Zachary,Alvarado,N,Mr.,5,191168921
Carlos,Alvarez,Y,Dr.,5,36661009
Virginia,Anderson,Y,Mrs.,5,32740857
Michelle,Arthur,Y,Miss,5,38510891
Tania,Ayers,N,Mrs.,5,173094131
Callie,Baez,N,Miss,5,217959733
Helen,Bailey,N,Ms.,5,231746935
Clara,Bailey,Y,Mrs.,5,224200234
Debra,Bailey,N,Dr.,5,187029031
Robert,Bailey,N,Dr.,5,229620888
Melvin,Baker,N,Dr.,5,68209043
Harold,Barbee,N,Sir,5,40950026
Catherine,Barlow,N,Dr.,5,4808305
Kareem,Bean,Y,Dr.,5,198210788
Travis,Beard,Y,Sir,5,74261094
Elizabeth,Belanger,Y,Ms.,5,198401464
Dorian,Bennett,Y,Sir,5,175846706
Dorothy,Blackman,Y,Mrs.,5,226189442
Millicent,Blake,N,Dr.,5,62357891
Isabel,Blanco,,Ms.,5,39771225
Micaela,Bliss,N,Ms.,5,127384770
Kimi,Block,Y,Mrs.,5,81336240
Theodore,Bonilla,Y,Mr.,5,55916334
Diana,Boone,N,Ms.,5,78836645
Myra,Boykin,Y,Ms.,5,47645332
Betty,Boyle,N,Mrs.,5,83938689
Kathryn,Brewer,N,Dr.,5,109221726
Jacqueline,Brown,N,Ms.,5,25521885
Aaron,Brown,Y,Ms.,5,186880706
Paula,Brown,,,5,158045021
Gary,Bryant,Y,Mr.,5,214107599
Misty,Burns,N,Ms.,5,67615400
Dianne,Burns,N,Ms.,5,107805752
Cathrine,Burton,N,Miss,5,161700680
Margart,Bush,N,Miss,5,216153948
Flora,Butcher,Y,Ms.,5,115836055
Reed,Butts,Y,Mr.,5,76913474
Jonathan,Campbell,N,Mr.,5,226241308
Alicia,Campbell,Y,Mrs.,5,192253935
Dominick,Campos,Y,Mr.,5,124760145
Sherman,Canales,N,Dr.,5,169184884
Carlos,Carlisle,N,Mr.,5,53484105
Julie,Caro,Y,Dr.,5,31859639
David,Carr,Y,Dr.,5,58682072
Salvador,Carroll,Y,Dr.,5,93332886
Jolyn,Carroll,N,Ms.,5,216799831
Ebony,Carson,Y,Dr.,5,127744370
Bessie,Chamberlain,Y,Dr.,5,99321491
Matthew,Chang,N,Dr.,5,152836168
Marlin,Clem,Y,Mr.,5,98179737
Velma,Clemons,Y,Mrs.,5,163928722
Jason,Coffey,N,Mr.,5,42827637
Edward,Colby,Y,Dr.,5,80169516
Jesse,Colon,N,Dr.,5,41773893
Catherine,Coulter,Y,Ms.,5,134479743
Lydia,Council,Y,Miss,5,3994256
Crystal,Coy,N,Miss,5,115935202
Michael,Cross,N,Mr.,5,225617186
Reginald,Crowley,N,Sir,5,151034979
Leticia,Cruz,Y,Dr.,5,199808250
Winston,Curry,Y,Dr.,5,121798892
Lucy,Curry,N,Mrs.,5,201970760
Gabriel,Daigle,Y,Sir,5,189317126
Robert,Davis,Y,Sir,5,78125393
Fran,Davis,N,Mrs.,5,34983510
Jacqueline,Day,Y,Dr.,5,116946068
Sara,Dixon,Y,Miss,5,234703043
Edward,Donaldson,N,Dr.,5,168040356
Donnell,Donaldson,Y,Dr.,5,169842484
Olga,Drury,Y,Ms.,5,3253750
Stephen,Duff,N,Sir,5,119505842
Jeffrey,Dunn,N,Sir,5,102888115
Santiago,East,N,Sir,5,159854885
Anna,Edmonds,Y,Miss,5,191425108
Michael,Edwards,Y,Dr.,5,56822047
Antonio,English,N,Ms.,5,13554494
Jason,Espinosa,Y,Sir,5,78392104
Thomas,Evans,N,Mr.,5,142514603
Christina,Ewing,Y,Ms.,5,5660531
Timothy,Fair,N,Dr.,5,68826414
Kyle,Fisher,N,Mr.,5,63245012
Luz,Fitzpatrick,Y,Mrs.,5,239435422
Travis,Flanders,N,Mr.,5,22149259
Jonathan,Floyd,Y,Sir,5,121624543
Don,Ford,N,Sir,5,232890214
Harry,Ford,Y,Mr.,5,191415979
Ernie,Frazier,N,Dr.,5,127771458
Clarence,Freeman,N,Mr.,5,96840538
Sara,Galloway,N,Dr.,5,148891468
Avery,Garcia,N,Sir,5,112790338
Angel,Garrison,N,Dr.,5,79590820
Ruby,Garvin,Y,Ms.,5,56976373
Robert,Gates,N,Dr.,5,187046739
Kimber,Gilliland,Y,Dr.,5,169378286
Travis,Gilmore,N,Sir,5,20146857
Doris,Goforth,Y,Dr.,5,144982228
Theresa,Gonzales,Y,Ms.,5,170302496
Norman,Gonzales,N,Sir,5,149163371
Evelyne,Good,N,Dr.,5,147255538
Elizabeth,Gorman,N,Dr.,5,104358468
Helen,Graves,N,Ms.,5,113000983
Walter,Griffin,Y,Dr.,5,191778230
Lucy,Grimes,Y,Miss,5,114062161
Martin,Gunderson,N,Dr.,5,90897537
Patrick,Guzman,Y,Mr.,5,198984304
Greg,Hall,Y,Dr.,5,56526956
Jose,Hall,N,Dr.,5,165122696
Bessie,Hansen,N,Miss,5,100312135
Brian,Hardy,Y,,5,154686828
,Harris,,,5,73333690
Eric,Harris,Y,Dr.,5,13193201
Walter,Hatfield,Y,Sir,5,2881569
Theresa,Hayes,N,Ms.,5,177664632
Natalie,Hearn,N,Ms.,5,68731265
Houston,Heilman,N,Dr.,5,212522267
Traci,Hernandez,Y,Ms.,5,18803246
Margaret,Herrmann,Y,Mrs.,5,2588882
Andrew,Hildebrand,Y,Mrs.,5,213232859
Samuel,Hill,N,Dr.,5,236226204
,Hines,Y,,5,56302643
Winifred,Ho,N,Mrs.,5,128335939
Kimberly,Howard,Y,Dr.,5,10861869
Linda,Howell,N,Ms.,5,210300421
Charles,Hughes,N,Dr.,5,166041925
Jonathon,Hunter,N,Sir,5,20978379
Gina,Hyatt,N,Ms.,5,215399631
Audrey,Ingram,N,Ms.,5,56005592
Shari,Irish,Y,Mrs.,5,150512341
Margaret,Jackson,N,Miss,5,203832425
James,James,N,Dr.,5,110059942
,Jenkins,Y,,5,198486619
Tamie,Jimenez,Y,Dr.,5,101573143
Teresa,Johnson,N,Dr.,5,209578484
James,Johnson,N,Dr.,5,172996720
Agnes,Johnson,N,Mrs.,5,87480403
Linda,Johnson,N,Ms.,5,223492589
Zachary,Johnson,N,Sir,5,226401926
Gregory,Jones,N,Mr.,5,134993753
Nicholas,Jones,Y,Dr.,5,38142129
Patrick,Kelly,N,Dr.,5,67645542
Myron,Kimble,Y,Dr.,5,229577873
Michael,Knoll,N,Sir,5,78172016
Meghan,Kramer,N,Mrs.,5,200674807
Edna,Lam,Y,Ms.,5,153371861
Catherine,Lamb,N,Mrs.,5,32146236
Bruce,Latham,N,Sir,5,222474618
Johnny,Lay,N,Dr.,5,207968482
Valerie,Leblanc,Y,Dr.,5,156915875
Ty,Lee,N,Mr.,5,179874440
Rudy,Lee,N,Sir,5,77628787
Gloria,Lemon,Y,Ms.,5,161608512
Chester,Leon,N,Sir,5,84206359
,Lewis,N,,5,75863390
Mona,Lincoln,N,Dr.,5,170504150
Jennie,Lopes,N,Ms.,5,126589156
,Lopez,Y,,5,49485085
,Lopez,N,,5,138188447
Samuel,Love,Y,Sir,5,232924089
Alfred,Lucero,N,Mr.,5,137245564
Darren,Luna,Y,Mr.,5,203130092
Linda,Lunn,N,Ms.,5,167738764
Gertrude,Ma,N,Ms.,5,4799198
Verna,Malley,N,Miss,5,162007413
Kevin,Manley,Y,Mr.,5,235888684
John,Manning,N,Dr.,5,8805920
Priscilla,Marrero,N,Mrs.,5,41916031
Joe,Mason,N,Sir,5,107104632
Glenn,Matteson,N,Sir,5,165341097
Daniel,May,Y,Sir,5,60996364
Roberto,Mccall,Y,Dr.,5,185684997
Vaughn,Mccann,Y,Mr.,5,52791581
Daniel,Mccarthy,N,Sir,5,228085989
Francis,Mcdonald,N,Mr.,5,156213874
Alfred,Mcgehee,N,Mr.,5,2027617
Harry,Mckee,N,Sir,5,200513331
Andre,Mckenzie,Y,Mrs.,5,123765937
Vickie,Mclaughlin,N,Ms.,5,194871528
Donna,Mcnamara,Y,Mrs.,5,134232640
Sarah,Merrell,Y,Dr.,5,104525438
William,Miles,N,Dr.,5,84115281
Donald,Miller,N,Sir,5,229752427
Christine,Miller,Y,Ms.,5,16364174
Jim,Miller,N,Dr.,5,180761373
Caitlin,Miller,N,Dr.,5,112752327
Henry,Mitchell,Y,Dr.,5,231765858
Stephanie,Monk,Y,Ms.,5,17971322
Roselia,Moore,Y,Ms.,5,159885308
Amy,Moore,Y,Mrs.,5,641833
William,Morales,Y,Sir,5,78339629
David,Morales,N,Mr.,5,113961404
Darius,Morgan,Y,Sir,5,140316415
Aaron,Morgan,N,Mrs.,5,11515265
Carolyn,Mosley,N,Mrs.,5,109172547
Ross,Nelson,N,Dr.,5,19923701
Rosalyn,Nemeth,N,Ms.,5,112323057
Tammy,Nesmith,Y,Mrs.,5,207374653
Belen,Nettles,N,Ms.,5,33777385
Gregory,Newton,N,Dr.,5,63647816
Donna,Nichols,Y,Mrs.,5,120470945
Mack,Nix,Y,Mr.,5,82218787
Elinor,Nowell,Y,Mrs.,5,132476437
Kenneth,Orr,N,Dr.,5,141335923
Rosa,Ouellette,N,Miss,5,163737990
Lisa,Pacheco,N,Mrs.,5,211299064
Phyllis,Padgett,N,Ms.,5,124237525
Roslyn,Parker,Y,Mrs.,5,123734695
Irene,Peacock,Y,Mrs.,5,209345395
Adam,Pearson,N,Ms.,5,69298285
Charles,Pearson,N,Mr.,5,95143634
Stanley,Pena,N,Sir,5,84620684
Kenneth,Perry,N,Mr.,5,153299425
Elizabeth,Perry,N,Miss,5,78828076
Gary,Peters,N,Dr.,5,64699435
William,Peters,N,Dr.,5,103468189
Fernando,Peterson,N,Dr.,5,114587439
Patrice,Phillips,Y,Miss,5,216808166
Dale,Pickett,Y,Mr.,5,98591064
Amanda,Pineda,N,Mrs.,5,71645786
Merrill,Pitts,N,Sir,5,72582825
Matthew,Porter,N,Sir,5,207421515
Gerald,Post,Y,Mr.,5,128695368
William,Prado,N,Mr.,5,91070492
David,Puckett,N,Mr.,5,30495552
Wesley,Pulliam,Y,Sir,5,199211299
Anthony,Putnam,Y,Miss,5,127007260
Leonard,Quinn,Y,Sir,5,229559004
Steve,Quinn,Y,Mr.,5,186762694
Omar,Ramirez,N,Mr.,5,77364580
Donald,Ramirez,N,Mr.,5,69875602
Robert,Ramirez,Y,Mr.,5,147590641
Bonnie,Reid,N,Ms.,5,15046036
Gregory,Richey,N,Sir,5,202797897
Fred,Ricks,N,Dr.,5,44087459
Jane,Riley,Y,Dr.,5,65637391
Franklin,Rivera,Y,Mr.,5,94650789
Geraldine,Roark,Y,Mrs.,5,24081767
Allen,Robinson,N,Ms.,5,144682619
Douglas,Robinson,Y,Mr.,5,7641086
Thomas,Rodriguez,N,Mr.,5,124626043
Andrew,Rodriguez,Y,Miss,5,179933983
Mandi,Rodriquez,Y,Mrs.,5,234656024
George,Rogers,N,Dr.,5,86366072
Jesse,Rose,N,Dr.,5,151137227
Angelia,Russell,N,Dr.,5,142348913
Peg,Russo,Y,Ms.,5,126206360
Carroll,Sanchez,Y,Sir,5,211622369
Albert,Santiago,Y,Ms.,5,34009189
Sharon,Santos,Y,Mrs.,5,122785582
Melinda,Schmitt,N,Dr.,5,106771043
James,Schumacher,N,Mr.,5,213539445
Jose,Serrano,Y,Sir,5,120863318
Roberto,Sharpe,N,Mr.,5,72333490
Kenneth,Shaw,Y,Sir,5,47629992
Robert,Sheehan,N,Dr.,5,31832857
Gladys,Sheffield,Y,Ms.,5,96642598
Sylvester,Simmons,Y,Mr.,5,204688413
Teresa,Simone,N,Mrs.,5,98183074
Donna,Simpson,N,Ms.,5,89500447
Betty,Singleton,Y,Ms.,5,180718066
Stephen,Smith,Y,Dr.,5,21209854
Billy,Smith,Y,Sir,5,123872506
David,Smith,Y,Sir,5,200013770
Daniel,Smith,N,Sir,5,76118937
Mildred,Smith,Y,Ms.,5,18414835
Nathan,Smith,N,Sir,5,174238112
